asset,tool,score,band
employees,list_tables,16.0,high
employees,describe_table,8.0,medium
employees,read_query,16.0,high
employees,write_query,24.0,high
employees,insert_row,16.0,medium
projects,list_tables,12.0,medium
projects,describe_table,6.0,low
projects,read_query,12.0,medium
projects,write_query,18.0,medium
projects,insert_row,12.0,medium
datasets,list_tables,12.0,medium
datasets,describe_table,6.0,low
datasets,read_query,12.0,medium
datasets,write_query,18.0,medium
datasets,insert_row,12.0,medium
experiments,list_tables,12.0,medium
experiments,describe_table,6.0,low
experiments,read_query,12.0,medium
experiments,write_query,18.0,medium
experiments,insert_row,12.0,medium
publications,list_tables,8.0,medium
publications,describe_table,4.0,low
publications,read_query,8.0,medium
publications,write_query,12.0,medium
publications,insert_row,8.0,medium
grants,list_tables,16.0,high
grants,describe_table,8.0,medium
grants,read_query,16.0,high
grants,write_query,24.0,high
grants,insert_row,16.0,medium
api_keys,list_tables,10.0,medium
api_keys,describe_table,10.0,medium
api_keys,read_query,20.0,high
api_keys,write_query,30.0,high
api_keys,insert_row,20.0,high
