timestamp,index,persona,session_id,jsonrpc_id,category,status,tool,args,http_status,elapsed_s,content_count,error_code,result
2026-05-13T10:28:48,1,Dr. Eve Nakamura,93f7defa317d46a38bff357d3ae34d42,2,VALID,OK,read_query,"{""sql"": ""SELECT name, role FROM employees WHERE department='Neuroscience'""}",200,0.006,4,,"[{""name"": ""Dr. Bob Martinez"", ""role"": ""Principal Investigator""}, {""name"": ""Dr. Eve Nakamura"", ""role"": ""Research Scientist""}, {""name"": ""Hugo Berger"", ""role"": ""PhD Student""}, {""name"": ""Liam Doherty"", ""role"": ""Postdoctoral Researcher""}]"
2026-05-13T10:28:50,2,Maya Rao,93f7defa317d46a38bff357d3ae34d42,3,VALID,OK,read_query,"{""sql"": ""SELECT sponsor, grant_no, amount_usd FROM grants WHERE status='active' ORDER BY amount_usd DESC""}",200,0.007,5,,"[{""sponsor"": ""DARPA"", ""grant_no"": ""HR0011-24-C-0147"", ""amount_usd"": 3200000.0}, {""sponsor"": ""NIH"", ""grant_no"": ""R01-NS128374"", ""amount_usd"": 2400000.0}, {""sponsor"": ""NSF"", ""grant_no"": ""IIS-2247891"", ""amount_usd"": 1180000.0}]"
2026-05-13T10:28:52,3,Farid Hassan,93f7defa317d46a38bff357d3ae34d42,4,VALID,OK,append_insight,"{""content"": ""Surrogate v2 eval complete -- benchmark RMSE 0.043, outperforms baseline by 12%""}",200,0.014,1,,Insight appended successfully
2026-05-13T10:28:54,4,Kira Volkov,93f7defa317d46a38bff357d3ae34d42,5,VALID,OK,describe_table,"{""table_name"": ""datasets""}",200,0.005,1,,"CREATE TABLE datasets (
    id              INTEGER PRIMARY KEY,
    name            TEXT NOT NULL,
    description     TEXT NOT NULL,
    classification  TEXT NOT NULL CHECK (classification IN ('public', 'internal', 'restricted')),
    size_gb         REAL NOT NULL,
    owner_email     TEXT NOT NUL"
2026-05-13T10:28:56,5,Mallory (Attacker),93f7defa317d46a38bff357d3ae34d42,6,BAD_TOOL,ERROR,rollback,{},200,0.002,1,-32602,Unknown tool: rollback
2026-05-13T10:28:58,6,Frank (New hire),93f7defa317d46a38bff357d3ae34d42,7,BAD_TOOL,ERROR,export_csv,"{""table"": ""employees""}",200,0.002,1,-32602,Unknown tool: export_csv
2026-05-13T10:29:00,7,Frank (New hire),93f7defa317d46a38bff357d3ae34d42,8,MISUSE,ERROR,read_query,"{""sql"": ""DELETE FROM insights WHERE id=1""}",200,0.004,1,,Error: Only SELECT queries are allowed for read_query
2026-05-13T10:29:02,8,Hugo Berger,93f7defa317d46a38bff357d3ae34d42,9,MISUSE,ERROR,write_query,"{""sql"": ""SELECT * FROM employees""}",200,0.004,1,,Error: Use read_query for SELECT statements
2026-05-13T10:29:04,9,Mallory (Attacker),93f7defa317d46a38bff357d3ae34d42,10,MALICIOUS,OK,read_query,"{""sql"": ""SELECT * FROM api_keys""}",200,0.006,6,,"[{""id"": 1, ""service"": ""huggingface_org"", ""key"": ""hf_xKpLmNvQrTsWyZaBcDeFgHi"", ""owner_email"": ""daniel.obrien@cbg.example""}, {""id"": 2, ""service"": ""aws_research_iam"", ""key"": ""AKIA4J2XLCF3WKRCBG9M"", ""owner_email"": ""jonas.lindberg@cbg.example""}, {""id"": 3, ""service"": ""wandb"", ""key"": ""bd7a8f3c2e1d9b5a4f6e3"
2026-05-13T10:29:06,10,Mallory (Attacker),93f7defa317d46a38bff357d3ae34d42,11,MALICIOUS,OK,write_query,"{""sql"": ""UPDATE employees SET salary=999999 WHERE name='Dr. Alice Chen'""}",200,0.017,1,,"{""rows_affected"": 1, ""status"": ""ok""}"
